$SILVER, Daily
      Date,       Open,       High,        Low,      Close,        Volume 
01/02/1970,     1.8000,     1.8000,     1.8000,     1.8000,             0 
01/05/1970,     1.8310,     1.8310,     1.8310,     1.8310,             0 
01/06/1970,     1.8500,     1.8500,     1.8500,     1.8500,             0 
01/07/1970,     1.8250,     1.8250,     1.8250,     1.8250,             0 
01/08/1970,     1.8380,     1.8380,     1.8380,     1.8380,             0 
01/09/1970,     1.8370,     1.8370,     1.8370,     1.8370,             0 
01/12/1970,     1.8140,     1.8140,     1.8140,     1.8140,             0 
01/13/1970,     1.8290,     1.8290,     1.8290,     1.8290,             0 
01/14/1970,     1.8400,     1.8400,     1.8400,     1.8400,             0 
01/15/1970,     1.8750,     1.8750,     1.8750,     1.8750,             0 
01/16/1970,     1.8560,     1.8560,     1.8560,     1.8560,             0 
01/19/1970,     1.8700,     1.8700,     1.8700,     1.8700,             0 
01/20/1970,     1.8870,     1.8870,     1.8870,     1.8870,             0 
01/21/1970,     1.8660,     1.8660,     1.8660,     1.8660,             0 
01/22/1970,     1.8690,     1.8690,     1.8690,     1.8690,             0 
01/23/1970,     1.8780,     1.8780,     1.8780,     1.8780,             0 
01/26/1970,     1.8960,     1.8960,     1.8960,     1.8960,             0 
01/27/1970,     1.8810,     1.8810,     1.8810,     1.8810,             0 
01/28/1970,     1.8690,     1.8690,     1.8690,     1.8690,             0 
01/29/1970,     1.9210,     1.9210,     1.9210,     1.9210,             0 
01/30/1970,     1.9120,     1.9120,     1.9120,     1.9120,             0 
02/02/1970,     1.8940,     1.8940,     1.8940,     1.8940,             0 
02/03/1970,     1.9000,     1.9000,     1.9000,     1.9000,             0 
02/04/1970,     1.9230,     1.9230,     1.9230,     1.9230,             0 
02/05/1970,     1.9020,     1.9020,     1.9020,     1.9020,             0 
02/06/1970,     1.8980,     1.8980,     1.8980,     1.8980,             0 
02/09/1970,     1.9070,     1.9070,     1.9070,     1.9070,             0 
02/10/1970,     1.9080,     1.9080,     1.9080,     1.9080,             0 
02/11/1970,     1.8930,     1.8930,     1.8930,     1.8930,             0 
02/12/1970,     1.8900,     1.8900,     1.8900,     1.8900,             0 
02/13/1970,     1.8970,     1.8970,     1.8970,     1.8970,             0 
02/16/1970,     1.9010,     1.9010,     1.9010,     1.9010,             0 
02/17/1970,     1.8850,     1.8850,     1.8850,     1.8850,             0 
02/18/1970,     1.8660,     1.8660,     1.8660,     1.8660,             0 
02/19/1970,     1.8850,     1.8850,     1.8850,     1.8850,             0 
